Accession,Technology
GPL20584,high-throughput sequencing
GPL20585,high-throughput sequencing
GPL19852,in situ oligonucleotide
GPL19853,in situ oligonucleotide
GPL20575,in situ oligonucleotide
GPL20577,in situ oligonucleotide
GPL20580,high-throughput sequencing
GPL18976,other
GPL20566,spotted oligonucleotide
GPL20567,spotted oligonucleotide
GPL20568,spotted oligonucleotide
GPL20569,spotted oligonucleotide
GPL20574,in situ oligonucleotide
GPL20331,spotted oligonucleotide
GPL20565,high-throughput sequencing
GPL20572,high-throughput sequencing
GPL20333,oligonucleotide beads
GPL20334,in situ oligonucleotide
GPL20335,high-throughput sequencing
GPL20336,high-throughput sequencing
GPL20337,high-throughput sequencing
GPL20338,high-throughput sequencing
GPL20339,high-throughput sequencing
GPL20340,high-throughput sequencing
GPL20341,high-throughput sequencing
GPL20342,high-throughput sequencing
GPL20343,high-throughput sequencing
GPL20344,high-throughput sequencing
GPL20345,high-throughput sequencing
GPL20346,high-throughput sequencing
GPL20347,high-throughput sequencing
GPL20348,high-throughput sequencing
GPL20349,high-throughput sequencing
GPL20350,high-throughput sequencing
GPL20351,high-throughput sequencing
GPL20352,high-throughput sequencing
GPL20353,high-throughput sequencing
GPL20354,high-throughput sequencing
GPL20355,high-throughput sequencing
GPL20356,high-throughput sequencing
GPL20357,high-throughput sequencing
GPL20358,high-throughput sequencing
GPL20360,high-throughput sequencing
GPL20361,high-throughput sequencing
GPL20362,high-throughput sequencing
GPL20363,high-throughput sequencing
GPL20364,high-throughput sequencing
GPL20365,high-throughput sequencing
GPL20366,high-throughput sequencing
GPL20367,high-throughput sequencing
GPL20368,high-throughput sequencing
GPL20369,high-throughput sequencing
GPL20370,high-throughput sequencing
GPL20371,high-throughput sequencing
GPL20372,high-throughput sequencing
GPL20373,high-throughput sequencing
GPL20374,high-throughput sequencing
GPL20375,high-throughput sequencing
GPL20376,high-throughput sequencing
GPL20377,high-throughput sequencing
GPL20378,high-throughput sequencing
GPL20379,high-throughput sequencing
GPL20380,high-throughput sequencing
GPL20381,high-throughput sequencing
GPL20382,high-throughput sequencing
GPL20383,high-throughput sequencing
GPL20384,high-throughput sequencing
GPL20385,high-throughput sequencing
GPL20386,high-throughput sequencing
GPL20387,high-throughput sequencing
GPL20388,high-throughput sequencing
GPL20389,high-throughput sequencing
GPL20390,high-throughput sequencing
GPL20391,high-throughput sequencing
GPL20392,high-throughput sequencing
GPL20393,high-throughput sequencing
GPL20394,high-throughput sequencing
GPL20395,high-throughput sequencing
GPL20396,high-throughput sequencing
GPL20397,high-throughput sequencing
GPL20398,high-throughput sequencing
GPL20399,high-throughput sequencing
GPL20400,high-throughput sequencing
GPL20401,high-throughput sequencing
GPL20402,high-throughput sequencing
GPL20403,high-throughput sequencing
GPL20404,high-throughput sequencing
GPL20405,high-throughput sequencing
GPL20406,high-throughput sequencing
GPL20407,high-throughput sequencing
GPL20408,high-throughput sequencing
GPL20409,high-throughput sequencing
GPL20410,high-throughput sequencing
GPL20411,high-throughput sequencing
GPL20412,high-throughput sequencing
GPL20413,high-throughput sequencing
GPL20414,high-throughput sequencing
GPL20415,high-throughput sequencing
GPL20416,high-throughput sequencing
GPL20417,high-throughput sequencing
GPL20418,high-throughput sequencing
GPL20419,high-throughput sequencing
GPL20420,high-throughput sequencing
GPL20421,high-throughput sequencing
GPL20422,high-throughput sequencing
GPL20423,high-throughput sequencing
GPL20424,high-throughput sequencing
GPL20425,high-throughput sequencing
GPL20426,high-throughput sequencing
GPL20427,high-throughput sequencing
GPL20428,high-throughput sequencing
GPL20429,high-throughput sequencing
GPL20430,high-throughput sequencing
GPL20431,high-throughput sequencing
GPL20432,high-throughput sequencing
GPL20433,high-throughput sequencing
GPL20434,high-throughput sequencing
GPL20435,high-throughput sequencing
GPL20436,high-throughput sequencing
GPL20437,high-throughput sequencing
GPL20438,high-throughput sequencing
GPL20439,high-throughput sequencing
GPL20440,high-throughput sequencing
GPL20441,high-throughput sequencing
GPL20442,high-throughput sequencing
GPL20443,high-throughput sequencing
GPL20444,high-throughput sequencing
GPL20445,high-throughput sequencing
GPL20446,high-throughput sequencing
GPL20447,high-throughput sequencing
GPL20448,high-throughput sequencing
GPL20449,high-throughput sequencing
GPL20450,high-throughput sequencing
GPL20451,high-throughput sequencing
GPL20452,high-throughput sequencing
GPL20453,high-throughput sequencing
GPL20454,high-throughput sequencing
GPL20455,high-throughput sequencing
GPL20456,high-throughput sequencing
GPL20457,high-throughput sequencing
GPL20458,high-throughput sequencing
GPL20459,high-throughput sequencing
GPL20460,high-throughput sequencing
GPL20461,high-throughput sequencing
GPL20462,high-throughput sequencing
GPL20463,high-throughput sequencing
GPL20464,high-throughput sequencing
GPL20465,high-throughput sequencing
GPL20466,high-throughput sequencing
GPL20467,high-throughput sequencing
GPL20468,high-throughput sequencing
GPL20469,high-throughput sequencing
GPL20470,high-throughput sequencing
GPL20471,high-throughput sequencing
GPL20472,high-throughput sequencing
GPL20473,high-throughput sequencing
GPL20474,high-throughput sequencing
GPL20475,high-throughput sequencing
GPL20476,high-throughput sequencing
GPL20477,high-throughput sequencing
GPL20478,high-throughput sequencing
GPL20479,high-throughput sequencing
GPL20480,high-throughput sequencing
GPL20481,high-throughput sequencing
GPL20482,high-throughput sequencing
GPL20483,high-throughput sequencing
GPL20484,high-throughput sequencing
GPL20485,high-throughput sequencing
GPL20486,high-throughput sequencing
GPL20487,high-throughput sequencing
GPL20488,high-throughput sequencing
GPL20489,high-throughput sequencing
GPL20490,high-throughput sequencing
GPL20491,high-throughput sequencing
GPL20492,high-throughput sequencing
GPL20493,high-throughput sequencing
GPL20494,high-throughput sequencing
GPL20495,high-throughput sequencing
GPL20496,high-throughput sequencing
GPL20497,high-throughput sequencing
GPL20498,high-throughput sequencing
GPL20499,high-throughput sequencing
GPL20500,high-throughput sequencing
GPL20501,high-throughput sequencing
GPL20503,high-throughput sequencing
GPL20504,high-throughput sequencing
GPL20505,high-throughput sequencing
GPL20506,high-throughput sequencing
GPL20507,high-throughput sequencing
GPL20508,high-throughput sequencing
GPL20509,high-throughput sequencing
GPL20510,high-throughput sequencing
GPL20511,high-throughput sequencing
GPL20512,high-throughput sequencing
GPL20513,high-throughput sequencing
GPL20514,high-throughput sequencing
GPL20515,high-throughput sequencing
GPL20516,high-throughput sequencing
GPL20517,high-throughput sequencing
GPL20518,high-throughput sequencing
GPL20519,high-throughput sequencing
GPL20520,high-throughput sequencing
GPL20521,high-throughput sequencing
GPL20522,high-throughput sequencing
GPL20523,high-throughput sequencing
GPL20524,high-throughput sequencing
GPL20525,high-throughput sequencing
GPL20526,high-throughput sequencing
GPL20527,high-throughput sequencing
GPL20528,high-throughput sequencing
GPL20529,high-throughput sequencing
GPL20530,high-throughput sequencing
GPL20531,high-throughput sequencing
GPL20532,high-throughput sequencing
GPL20533,high-throughput sequencing
GPL20534,high-throughput sequencing
GPL20535,high-throughput sequencing
GPL20536,high-throughput sequencing
GPL20537,high-throughput sequencing
GPL20538,high-throughput sequencing
GPL20539,high-throughput sequencing
GPL20540,high-throughput sequencing
GPL20541,high-throughput sequencing
GPL20542,high-throughput sequencing
GPL20543,high-throughput sequencing
GPL20544,high-throughput sequencing
GPL20545,high-throughput sequencing
GPL20546,high-throughput sequencing
GPL20547,high-throughput sequencing
GPL20548,high-throughput sequencing
GPL20549,high-throughput sequencing
GPL20550,high-throughput sequencing
GPL20551,high-throughput sequencing
GPL20552,high-throughput sequencing
GPL20553,high-throughput sequencing
GPL20554,high-throughput sequencing
GPL20555,high-throughput sequencing
GPL20556,high-throughput sequencing
GPL20557,high-throughput sequencing
GPL20558,high-throughput sequencing
GPL20559,high-throughput sequencing
GPL20560,high-throughput sequencing
GPL20561,high-throughput sequencing
GPL20562,spotted DNA/cDNA
GPL20321,spotted oligonucleotide
GPL20327,in situ oligonucleotide
GPL20328,in situ oligonucleotide
GPL19603,in situ oligonucleotide
GPL19406,in situ oligonucleotide
GPL19971,in situ oligonucleotide
GPL20319,high-throughput sequencing
GPL20322,high-throughput sequencing
GPL20323,high-throughput sequencing
GPL20324,in situ oligonucleotide
GPL20326,high-throughput sequencing
GPL20306,RT-PCR
GPL20309,antibody
GPL20311,in situ oligonucleotide
GPL18593,in situ oligonucleotide
GPL18594,in situ oligonucleotide
GPL18595,in situ oligonucleotide
GPL18596,in situ oligonucleotide
GPL18597,in situ oligonucleotide
GPL20296,spotted peptide or protein
GPL15710,in situ oligonucleotide
GPL20299,in situ oligonucleotide
GPL20308,high-throughput sequencing
GPL20312,in situ oligonucleotide
GPL20313,high-throughput sequencing
GPL20314,high-throughput sequencing
GPL20301,high-throughput sequencing
GPL20302,high-throughput sequencing
GPL18641,in situ oligonucleotide
GPL19374,spotted oligonucleotide
GPL20294,high-throughput sequencing
GPL19232,in situ oligonucleotide
GPL20293,high-throughput sequencing
GPL19398,spotted oligonucleotide
GPL20278,in situ oligonucleotide
GPL20287,RT-PCR
GPL20291,high-throughput sequencing
GPL20286,high-throughput sequencing
GPL20288,spotted oligonucleotide
GPL19748,in situ oligonucleotide
GPL20224,in situ oligonucleotide
GPL20284,high-throughput sequencing
GPL20285,high-throughput sequencing
GPL15689,in situ oligonucleotide
GPL13714,in situ oligonucleotide
GPL20270,in situ oligonucleotide
GPL20272,high-throughput sequencing
GPL20273,high-throughput sequencing
GPL20276,high-throughput sequencing
GPL16976,spotted oligonucleotide
GPL18280,in situ oligonucleotide
GPL18713,spotted oligonucleotide
GPL19008,in situ oligonucleotide
GPL19627,spotted oligonucleotide
GPL19898,in situ oligonucleotide
GPL19899,in situ oligonucleotide
GPL19946,in situ oligonucleotide
GPL20015,in situ oligonucleotide
GPL20094,in situ oligonucleotide
GPL20271,high-throughput sequencing
GPL19811,in situ oligonucleotide
GPL18620,in situ oligonucleotide
GPL19751,in situ oligonucleotide
GPL19750,in situ oligonucleotide
GPL20252,in situ oligonucleotide
GPL20253,in situ oligonucleotide
GPL20255,in situ oligonucleotide
GPL20262,high-throughput sequencing
GPL20264,high-throughput sequencing
GPL20248,in situ oligonucleotide
GPL20257,high-throughput sequencing
GPL20258,in situ oligonucleotide
GPL20259,high-throughput sequencing
GPL19395,in situ oligonucleotide
GPL20243,in situ oligonucleotide
GPL20249,in situ oligonucleotide
GPL20250,high-throughput sequencing
GPL20238,high-throughput sequencing
GPL20239,high-throughput sequencing
GPL20240,high-throughput sequencing
GPL20241,high-throughput sequencing
GPL20247,high-throughput sequencing
GPL20235,in situ oligonucleotide
GPL20237,high-throughput sequencing
GPL19096,in situ oligonucleotide
GPL20236,high-throughput sequencing
GPL19111,in situ oligonucleotide
GPL20229,high-throughput sequencing
GPL20230,high-throughput sequencing
GPL20231,high-throughput sequencing
GPL20232,high-throughput sequencing
GPL20234,in situ oligonucleotide
GPL19291,in situ oligonucleotide
GPL19654,in situ oligonucleotide
GPL18807,oligonucleotide beads
GPL20217,spotted DNA/cDNA
GPL20218,spotted DNA/cDNA
GPL20225,high-throughput sequencing
GPL20226,high-throughput sequencing
GPL20227,high-throughput sequencing
GPL19765,other
GPL20207,in situ oligonucleotide
GPL20212,in situ oligonucleotide
GPL20214,high-throughput sequencing
GPL20215,high-throughput sequencing
GPL20219,high-throughput sequencing
GPL20220,high-throughput sequencing
GPL20221,high-throughput sequencing
GPL20222,high-throughput sequencing
GPL20223,high-throughput sequencing
GPL18609,spotted oligonucleotide
GPL17662,in situ oligonucleotide
GPL20208,high-throughput sequencing
GPL20211,high-throughput sequencing
GPL20213,high-throughput sequencing
GPL20202,in situ oligonucleotide
GPL20163,in situ oligonucleotide
GPL20205,in situ oligonucleotide
GPL18106,spotted oligonucleotide
GPL18174,in situ oligonucleotide
GPL18175,in situ oligonucleotide
GPL19061,in situ oligonucleotide
GPL20187,in situ oligonucleotide
GPL20195,high-throughput sequencing
GPL20196,high-throughput sequencing
GPL20197,high-throughput sequencing
GPL20198,high-throughput sequencing
GPL20199,high-throughput sequencing
GPL20200,high-throughput sequencing
GPL20175,in situ oligonucleotide
GPL20179,in situ oligonucleotide
GPL20185,in situ oligonucleotide
GPL20186,in situ oligonucleotide
GPL20188,in situ oligonucleotide
GPL20189,high-throughput sequencing
GPL20192,high-throughput sequencing
GPL20193,high-throughput sequencing
GPL18411,in situ oligonucleotide
GPL20174,high-throughput sequencing
GPL20176,high-throughput sequencing
GPL20177,high-throughput sequencing
GPL20181,high-throughput sequencing
GPL20183,high-throughput sequencing
GPL20184,high-throughput sequencing
GPL10365,spotted oligonucleotide
GPL20167,spotted oligonucleotide
GPL19113,spotted oligonucleotide
GPL20113,spotted DNA/cDNA
GPL15543,in situ oligonucleotide
GPL20149,in situ oligonucleotide
GPL20165,RT-PCR
GPL20168,spotted oligonucleotide
GPL20170,high-throughput sequencing
GPL20171,in situ oligonucleotide
GPL20172,high-throughput sequencing
GPL20173,high-throughput sequencing
GPL17155,in situ oligonucleotide
GPL20158,in situ oligonucleotide
GPL20160,RT-PCR
GPL20161,in situ oligonucleotide
GPL20166,oligonucleotide beads
GPL20151,spotted DNA/cDNA
GPL20157,in situ oligonucleotide
GPL20162,high-throughput sequencing
GPL20139,in situ oligonucleotide
GPL20140,in situ oligonucleotide
GPL20143,in situ oligonucleotide
GPL20144,in situ oligonucleotide
GPL20146,high-throughput sequencing
GPL20147,high-throughput sequencing
GPL20148,high-throughput sequencing
GPL20150,high-throughput sequencing
GPL20152,high-throughput sequencing
GPL20153,high-throughput sequencing
GPL20154,high-throughput sequencing
GPL20156,high-throughput sequencing
GPL20131,in situ oligonucleotide
GPL20136,in situ oligonucleotide
GPL20141,high-throughput sequencing
GPL20142,high-throughput sequencing
GPL20138,high-throughput sequencing
GPL20119,in situ oligonucleotide
GPL20132,in situ oligonucleotide
GPL18647,in situ oligonucleotide
GPL18659,in situ oligonucleotide
GPL18712,spotted oligonucleotide
GPL18904,in situ oligonucleotide
GPL19459,RT-PCR
GPL20125,RT-PCR
GPL20134,high-throughput sequencing
GPL20135,high-throughput sequencing
GPL19835,other
GPL20124,high-throughput sequencing
GPL20126,high-throughput sequencing
GPL20127,high-throughput sequencing
GPL20128,high-throughput sequencing
GPL20129,high-throughput sequencing
GPL20130,high-throughput sequencing
GPL18623,in situ oligonucleotide
GPL20118,RT-PCR
GPL20121,high-throughput sequencing
GPL20122,high-throughput sequencing
GPL20111,other
GPL20112,RT-PCR
GPL20114,high-throughput sequencing
GPL19214,in situ oligonucleotide
GPL19237,in situ oligonucleotide
GPL20010,in situ oligonucleotide
GPL20099,in situ oligonucleotide
GPL20103,in situ oligonucleotide
GPL20105,high-throughput sequencing
GPL20106,high-throughput sequencing
GPL20107,high-throughput sequencing
GPL20092,in situ oligonucleotide
GPL20101,spotted oligonucleotide
GPL20104,high-throughput sequencing
GPL20053,in situ oligonucleotide
GPL20054,in situ oligonucleotide
GPL20066,in situ oligonucleotide
GPL20067,in situ oligonucleotide
GPL20068,in situ oligonucleotide
GPL20069,in situ oligonucleotide
GPL20070,in situ oligonucleotide
GPL20083,in situ oligonucleotide
GPL20085,spotted peptide or protein
GPL20086,spotted peptide or protein
GPL20087,spotted peptide or protein
GPL20088,spotted peptide or protein
GPL20089,spotted peptide or protein
GPL20093,high-throughput sequencing
GPL20096,high-throughput sequencing
GPL20097,high-throughput sequencing
GPL20098,high-throughput sequencing
GPL20080,in situ oligonucleotide
GPL20082,high-throughput sequencing
GPL20084,high-throughput sequencing
GPL20090,high-throughput sequencing
GPL20076,high-throughput sequencing
GPL20077,high-throughput sequencing
GPL20079,high-throughput sequencing
GPL20072,high-throughput sequencing
GPL20073,high-throughput sequencing
GPL20075,high-throughput sequencing
GPL20058,spotted oligonucleotide
GPL20059,high-throughput sequencing
GPL20062,high-throughput sequencing
GPL20063,high-throughput sequencing
GPL20064,high-throughput sequencing
GPL20065,high-throughput sequencing
GPL17665,spotted oligonucleotide
GPL20034,spotted oligonucleotide
GPL20056,high-throughput sequencing
GPL20057,high-throughput sequencing
GPL19747,in situ oligonucleotide
GPL20028,in situ oligonucleotide
GPL20029,in situ oligonucleotide
GPL20031,RT-PCR
GPL20033,high-throughput sequencing
GPL20037,high-throughput sequencing
GPL20040,high-throughput sequencing
GPL20041,in situ oligonucleotide
GPL20044,high-throughput sequencing
GPL20045,high-throughput sequencing
GPL20046,high-throughput sequencing
GPL20047,high-throughput sequencing
GPL20048,high-throughput sequencing
GPL20049,high-throughput sequencing
GPL20050,high-throughput sequencing
GPL20051,high-throughput sequencing
GPL20052,high-throughput sequencing
GPL20022,in situ oligonucleotide
GPL20030,high-throughput sequencing
GPL20032,high-throughput sequencing
GPL20024,high-throughput sequencing
GPL20025,high-throughput sequencing
GPL13131,in situ oligonucleotide
GPL20008,in situ oligonucleotide
GPL20014,in situ oligonucleotide
GPL20016,high-throughput sequencing
GPL20019,oligonucleotide beads
GPL20020,high-throughput sequencing
GPL19920,spotted DNA/cDNA
GPL20011,high-throughput sequencing
GPL20012,high-throughput sequencing
GPL19302,in situ oligonucleotide
GPL19154,in situ oligonucleotide
GPL20002,high-throughput sequencing
GPL20003,high-throughput sequencing
GPL20004,high-throughput sequencing
GPL20005,high-throughput sequencing
GPL20006,high-throughput sequencing
GPL20009,high-throughput sequencing
GPL20000,high-throughput sequencing
GPL19995,spotted oligonucleotide
GPL19996,in situ oligonucleotide
GPL19987,in situ oligonucleotide
GPL19990,high-throughput sequencing
GPL19991,high-throughput sequencing
GPL19992,high-throughput sequencing
GPL19998,high-throughput sequencing
GPL18056,in situ oligonucleotide
GPL19977,in situ oligonucleotide
GPL19978,in situ oligonucleotide
GPL19979,in situ oligonucleotide
GPL19980,in situ oligonucleotide
GPL19982,high-throughput sequencing
GPL19983,in situ oligonucleotide
GPL19989,high-throughput sequencing
GPL18520,in situ oligonucleotide
GPL19078,in situ oligonucleotide
GPL19199,in situ oligonucleotide
GPL19300,in situ oligonucleotide
GPL19712,in situ oligonucleotide
GPL19752,in situ oligonucleotide
GPL19926,in situ oligonucleotide
GPL15534,in situ oligonucleotide
GPL18374,in situ oligonucleotide
GPL19472,in situ oligonucleotide
GPL19537,in situ oligonucleotide
GPL19684,in situ oligonucleotide
GPL19733,in situ oligonucleotide
GPL19962,other
GPL19963,other
GPL19964,other
GPL19965,other
GPL19966,in situ oligonucleotide
GPL19968,high-throughput sequencing
GPL19969,high-throughput sequencing
GPL19970,in situ oligonucleotide
GPL19972,in situ oligonucleotide
GPL19973,high-throughput sequencing
GPL19974,high-throughput sequencing
GPL19975,high-throughput sequencing
GPL19960,spotted oligonucleotide
GPL19961,high-throughput sequencing
GPL19967,in situ oligonucleotide
GPL19950,in situ oligonucleotide
GPL19956,other
GPL19958,high-throughput sequencing
GPL19959,high-throughput sequencing
GPL19953,high-throughput sequencing
GPL19955,high-throughput sequencing
GPL19317,in situ oligonucleotide
GPL18911,spotted oligonucleotide
GPL19947,in situ oligonucleotide
GPL19948,in situ oligonucleotide
GPL19949,high-throughput sequencing
GPL19951,high-throughput sequencing
GPL19158,in situ oligonucleotide
GPL19774,in situ oligonucleotide
GPL19902,spotted DNA/cDNA
GPL19923,in situ oligonucleotide
GPL19927,in situ oligonucleotide
GPL19935,spotted DNA/cDNA
GPL19941,other
GPL19944,high-throughput sequencing
GPL19945,high-throughput sequencing
GPL19928,high-throughput sequencing
GPL19929,high-throughput sequencing
GPL19930,in situ oligonucleotide
GPL19931,high-throughput sequencing
GPL19933,high-throughput sequencing
GPL19934,high-throughput sequencing
GPL19936,high-throughput sequencing
GPL19937,high-throughput sequencing
GPL19938,high-throughput sequencing
GPL19939,high-throughput sequencing
GPL19942,high-throughput sequencing
GPL18331,spotted oligonucleotide
GPL19924,other
GPL19320,in situ oligonucleotide
GPL19918,in situ oligonucleotide
GPL18853,in situ oligonucleotide
GPL19907,spotted DNA/cDNA
GPL19917,spotted DNA/cDNA
GPL19919,high-throughput sequencing
GPL19905,spotted DNA/cDNA
GPL19908,in situ oligonucleotide
GPL19910,high-throughput sequencing
GPL19912,high-throughput sequencing
GPL19914,RT-PCR
GPL19915,oligonucleotide beads
GPL19909,high-throughput sequencing
GPL19795,in situ oligonucleotide
GPL19897,spotted DNA/cDNA
GPL19900,in situ oligonucleotide
GPL19904,high-throughput sequencing
GPL18909,in situ oligonucleotide
GPL19859,in situ oligonucleotide
GPL19894,high-throughput sequencing
GPL16297,in situ oligonucleotide
GPL18389,spotted oligonucleotide
GPL18390,spotted oligonucleotide
GPL19869,in situ oligonucleotide
GPL19886,other
GPL19887,high-throughput sequencing
GPL19889,high-throughput sequencing
GPL19892,high-throughput sequencing
GPL19883,in situ oligonucleotide
GPL19574,spotted oligonucleotide
GPL19870,spotted oligonucleotide
GPL19880,high-throughput sequencing
GPL19881,in situ oligonucleotide
GPL18235,in situ oligonucleotide
GPL18427,in situ oligonucleotide
GPL19863,spotted peptide or protein
GPL19864,oligonucleotide beads
GPL19878,high-throughput sequencing
GPL19879,high-throughput sequencing
GPL19862,high-throughput sequencing
GPL19866,high-throughput sequencing
GPL19871,high-throughput sequencing
GPL19872,high-throughput sequencing
GPL19860,spotted oligonucleotide
GPL19861,spotted peptide or protein
GPL18998,MS
GPL19857,high-throughput sequencing
GPL19556,spotted DNA/cDNA
GPL19850,in situ oligonucleotide
GPL19183,in situ oligonucleotide
GPL19837,in situ oligonucleotide
GPL19844,in situ oligonucleotide
GPL19846,in situ oligonucleotide
GPL19851,high-throughput sequencing
GPL19767,in situ oligonucleotide
GPL19836,spotted oligonucleotide
GPL19838,high-throughput sequencing
GPL19839,high-throughput sequencing
GPL19840,high-throughput sequencing
GPL19841,high-throughput sequencing
GPL19842,high-throughput sequencing
GPL19845,high-throughput sequencing
GPL19847,high-throughput sequencing
GPL19833,in situ oligonucleotide
GPL16711,RT-PCR
GPL18903,in situ oligonucleotide
GPL19357,in situ oligonucleotide
GPL19625,oligonucleotide beads
GPL19724,RT-PCR
GPL19799,in situ oligonucleotide
GPL15305,spotted oligonucleotide
GPL19692,spotted peptide or protein
GPL19700,spotted peptide or protein
GPL19701,spotted peptide or protein
GPL19827,in situ oligonucleotide
GPL18419,spotted DNA/cDNA
GPL19829,in situ oligonucleotide
GPL19832,in situ oligonucleotide
GPL19824,in situ oligonucleotide
GPL19825,in situ oligonucleotide
GPL18350,antibody
GPL18847,in situ oligonucleotide
GPL19816,in situ oligonucleotide
GPL19822,high-throughput sequencing
GPL19567,in situ oligonucleotide
GPL19817,high-throughput sequencing
GPL19818,high-throughput sequencing
GPL19821,high-throughput sequencing
GPL19812,RT-PCR
GPL15268,RT-PCR
GPL18395,in situ oligonucleotide
GPL19807,spotted DNA/cDNA
GPL19808,in situ oligonucleotide
GPL19810,high-throughput sequencing
GPL19208,in situ oligonucleotide
GPL19801,in situ oligonucleotide
GPL19805,high-throughput sequencing
GPL19806,high-throughput sequencing
GPL18848,in situ oligonucleotide
GPL19794,RT-PCR
GPL19798,high-throughput sequencing
GPL19800,high-throughput sequencing
GPL19803,in situ oligonucleotide
GPL19788,high-throughput sequencing
GPL19789,high-throughput sequencing
GPL19790,high-throughput sequencing
GPL19792,high-throughput sequencing
GPL19796,high-throughput sequencing
GPL19775,in situ oligonucleotide
GPL19779,in situ oligonucleotide
GPL19780,in situ oligonucleotide
GPL19781,in situ oligonucleotide
GPL19782,in situ oligonucleotide
GPL19783,in situ oligonucleotide
GPL19784,in situ oligonucleotide
GPL19785,in situ oligonucleotide
GPL19787,high-throughput sequencing
GPL18066,spotted oligonucleotide
GPL18067,spotted oligonucleotide
GPL18283,in situ oligonucleotide
GPL19773,in situ oligonucleotide
GPL19776,high-throughput sequencing
GPL19777,high-throughput sequencing
GPL19778,high-throughput sequencing
GPL19516,in situ oligonucleotide
GPL19772,RT-PCR
GPL19759,high-throughput sequencing
GPL19762,high-throughput sequencing
GPL19763,RT-PCR
GPL19769,high-throughput sequencing
GPL19770,high-throughput sequencing
GPL19517,in situ oligonucleotide
GPL15211,spotted DNA/cDNA
GPL19756,high-throughput sequencing
GPL19757,high-throughput sequencing
GPL19758,high-throughput sequencing
GPL19749,high-throughput sequencing
GPL19753,high-throughput sequencing
GPL19754,high-throughput sequencing
GPL19740,spotted DNA/cDNA
GPL19743,in situ oligonucleotide
GPL19744,high-throughput sequencing
GPL19746,high-throughput sequencing
GPL19734,high-throughput sequencing
GPL19735,in situ oligonucleotide
GPL19736,high-throughput sequencing
GPL19738,oligonucleotide beads
GPL19739,high-throughput sequencing
GPL19741,in situ oligonucleotide
GPL19742,in situ oligonucleotide
GPL16049,spotted oligonucleotide
GPL19727,spotted oligonucleotide
GPL19730,in situ oligonucleotide
GPL19731,high-throughput sequencing
GPL19732,high-throughput sequencing
GPL19710,in situ oligonucleotide
GPL19711,in situ oligonucleotide
GPL19720,in situ oligonucleotide
GPL19725,RT-PCR
GPL19729,high-throughput sequencing
GPL15212,RT-PCR
GPL15213,RT-PCR
GPL15214,RT-PCR
GPL18313,spotted DNA/cDNA
GPL19718,oligonucleotide beads
GPL19721,in situ oligonucleotide
GPL18656,in situ oligonucleotide
GPL18657,in situ oligonucleotide
GPL18850,in situ oligonucleotide
GPL19714,spotted oligonucleotide
GPL19715,spotted oligonucleotide
GPL19716,spotted oligonucleotide
GPL19719,spotted oligonucleotide
GPL19723,high-throughput sequencing
GPL19394,RT-PCR
GPL18889,in situ oligonucleotide
GPL18890,in situ oligonucleotide
GPL19705,in situ oligonucleotide
GPL19706,in situ oligonucleotide
GPL19717,high-throughput sequencing
GPL19713,high-throughput sequencing
GPL19707,RT-PCR
GPL19708,high-throughput sequencing
GPL17428,in situ oligonucleotide
GPL17460,in situ oligonucleotide
GPL17461,in situ oligonucleotide
GPL19553,in situ oligonucleotide
GPL19554,in situ oligonucleotide
GPL19697,in situ oligonucleotide
GPL19702,high-throughput sequencing
GPL19703,high-throughput sequencing
GPL19704,high-throughput sequencing
GPL19693,spotted DNA/cDNA
GPL19696,in situ oligonucleotide
GPL19698,in situ oligonucleotide
GPL19673,in situ oligonucleotide
GPL19136,in situ oligonucleotide
GPL19691,high-throughput sequencing
GPL19694,high-throughput sequencing
GPL19695,high-throughput sequencing
GPL19699,oligonucleotide beads
GPL19676,spotted oligonucleotide
GPL19677,spotted oligonucleotide
GPL19679,in situ oligonucleotide
GPL19687,high-throughput sequencing
GPL19688,high-throughput sequencing
GPL19690,high-throughput sequencing
GPL19674,in situ oligonucleotide
GPL19675,high-throughput sequencing
GPL19668,high-throughput sequencing
GPL19669,high-throughput sequencing
GPL19670,high-throughput sequencing
GPL19671,high-throughput sequencing
GPL19665,high-throughput sequencing
GPL19645,RT-PCR
GPL19662,high-throughput sequencing
GPL19663,high-throughput sequencing
GPL19664,high-throughput sequencing
GPL18485,spotted oligonucleotide
GPL18486,spotted oligonucleotide
GPL19044,in situ oligonucleotide
GPL19655,high-throughput sequencing
GPL19657,high-throughput sequencing
GPL19659,high-throughput sequencing
GPL19642,in situ oligonucleotide
GPL19650,high-throughput sequencing
GPL19651,high-throughput sequencing
GPL19652,high-throughput sequencing
GPL19631,RT-PCR
GPL19644,high-throughput sequencing
GPL19646,high-throughput sequencing
GPL19647,high-throughput sequencing
GPL19648,high-throughput sequencing
GPL19649,high-throughput sequencing
GPL19634,high-throughput sequencing
GPL19635,high-throughput sequencing
GPL19636,high-throughput sequencing
GPL19637,high-throughput sequencing
GPL19638,high-throughput sequencing
GPL18089,in situ oligonucleotide
GPL19610,RT-PCR
GPL19611,other
GPL19613,in situ oligonucleotide
GPL19615,in situ oligonucleotide
GPL19618,high-throughput sequencing
GPL19621,high-throughput sequencing
GPL19622,in situ oligonucleotide
GPL19623,high-throughput sequencing
GPL19624,high-throughput sequencing
GPL19626,in situ oligonucleotide
GPL19608,spotted oligonucleotide
GPL18939,in situ oligonucleotide
GPL19520,in situ oligonucleotide
