ExomiRHub ID	GEO ID	Disease	Disease Type	Drug	Life Style	Sample Name	Sample Type	Sample Number	Sample Source	Isolation Method	Extraction Method	Infection	Genotype	Body Site	Age	Gender	Status	Stage	Grade	Metastatisis	Citation	Platform Id	Platform Name
EMIR00000050	GSE140643	Lupus nephritis	Immune inflammatory disease	N/A	N/A	Urinary exosome in patients with Lupus nephritis	Urinary derived exosomes	26	Urinary	MiRCURY Exosome Isolation Kit	miRCURY Exosomes Isolation Kit	N/A	N/A	Kidney	N/A	N/A	Public on Nov 20, 2019	N/A	N/A	N/A	32085620	GPL27772	miRCURY LNAâ„¢ Universal RT microRNA PCR, Urine Exosome Focus Panel
EMIR00000051	GSE141618	Melanoma	Cancer	N/A	N/A	Exosome derived from primary melanocytes	Cell derived exosomes	2	Melanocyte	ExoQuick-TC Kit	Total Exosome RNA and Protein Isolation Kit	N/A	N/A	Skin	N/A	N/A	Public on Jun 01, 2020	N/A	N/A	N/A	32386350	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
EMIR00000052	GSE142819	Polycystic ovary syndrome	Endocrine metabolic disease	N/A	N/A	Plasma exosome from women with polycystic ovary syndrome and control women	Plasma derived exosomes	30	Plasma	ExoQuick-TM Kit	Trizol reagent	N/A	N/A	Cervix,Ovary and Uterus	N/A	N/A	Public on Jul 01, 2021	N/A	N/A	N/A	33041053	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000053	GSE124320	Breast cancer	Cancer	Sulfisoxazole	N/A	Sulfisoxazole-treated MDA-MB-231 breast cancer cell-derived exosome	Cell derived exosomes	2	MDA-MB-231 cell	ExoQuick-TM Kit with filtered through 0.22 um membranes	Total Exosome RNA and Protein Isolation Kit	N/A	N/A	Breast	N/A	N/A	Public on Dec 24, 2018	N/A	N/A	N/A	30918259	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
EMIR00000054	GSE110509	Oxalate nephropathy	Kidney disease	Sodium oxalate	N/A	Exosome derived from HK-2 cells exposed to 0, 1, 2 mM sodium oxalate for 48 hours	Cell derived exosomes	9	HK-2 cell	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	Trizol reagent and miRNeasy Mini Kit	N/A	N/A	Kidney	N/A	N/A	Public on Feb 13, 2018	N/A	N/A	N/A	Link to PubMed	GPL17107	Exiqon miRCURY LNAâ„¢ microRNA Array - hsa, mmu & rno
EMIR00000055	GSE151169	Hepatocellular carcinoma	Cancer	N/A	N/A	Exosome derived from hepatocellular carcinoma cell lines ( primary and metastatic HuH-7)	Cell derived exosomes	2	HuH-7 cell	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	miRNeasy Mini Kit	N/A	N/A	Liver	N/A	N/A	Public on Mar 23, 2021	N/A	N/A	Yes	33426736	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000056	GSE152251	Melanoma	Cancer	UVB-irradiation	N/A	Exosome from UVB-irradiated melanocytes and non-irradiated melanocytes HEM-a	Cell derived exosomes	6	HEM-a cell	Step-wise centrifugation-ultracentrifugation	"HiPure Liquid miRNA Kit; HiPure Serum/Plasma miRNA Kit"	N/A	N/A	Skin	N/A	N/A	Public on Jun 12, 2020	N/A	N/A	N/A	32785244	GPL20301	Illumina HiSeq 4000 (Homo sapiens)
EMIR00000057	GSE174224	Heat stroke	Other	N/A	N/A	Serum exosome in healthy controls and heat stroke patients	Serum derived exosomes	9	Serum	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Other	N/A	N/A	Public on Jun 14, 2021	N/A	N/A	N/A	Link to PubMed	GPL20795	HiSeq X Ten (Homo sapiens)
EMIR00000058	GSE168436	Small cell lung cancer	Cancer	Chemotherapy	N/A	Plasma exosome of two small cell lung cancer patients at the pre- and post-chemoresistant stages	Plasma derived exosomes	4	Plasma	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	miRNeasy Serum/Plasma Kit	N/A	N/A	Lung	N/A	N/A	Public on Mar 09, 2021	Yes	N/A	N/A	34136482	GPL20795	HiSeq X Ten (Homo sapiens)
EMIR00000059	GSE163489	Inflammatory periodontal ligament disease	Oral disease	Lipopolysaccharide	N/A	Exosome of healthy periodontal ligament stem cells, inflammatory periodontal ligament stem cells, inflammatory periodontal ligament stem cells	Cell derived exosomes	3	Periodontal ligament stem cell	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Oral	N/A	N/A	Public on Apr 01, 2021	N/A	N/A	N/A	Link to PubMed	GPL20712	Agilent-070156 Human miRNA [miRNA version]
EMIR00000060	GSE161339	"Parathyroid adenoma; Parathyroid carcinoma"	Cancer	N/A	N/A	Serum exosome from patients with parathyroid tumor	Serum derived exosomes	8	Serum	Step-wise centrifugation-ultracentrifugation	NA	N/A	N/A	Thyroid	N/A	N/A	Public on Nov 13, 2020	N/A	N/A	N/A	33161496	GPL24676	Illumina NovaSeq 6000 (Homo sapiens)
EMIR00000061	GSE159814	Spinal Cord dysfunction	Nervous system disease	N/A	N/A	Umbilical mesenchymal stem cell-derived exosome	Cell derived exosomes	3	Umbilical mesenchymal stem cell	Total Exosomes Extraction Kit for Cell	SeraMir Exosome RNA Amplification Kit	N/A	N/A	Spinal cord	N/A	N/A	Public on Dec 08, 2020	N/A	N/A	N/A	33579361	GPL24676	Illumina NovaSeq 6000 (Homo sapiens)
EMIR00000062	GSE159641	Vascular disease	Vascular disease	Melatonin	N/A	Exosome from endothelial cells	Cell derived exosomes	6	Endothelial cell	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Blood system	N/A	N/A	Public on Oct 20, 2020	N/A	N/A	N/A	Link to PubMed	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
EMIR00000063	GSE155360	Esophageal squamous cell carcinoma	Cancer	N/A	N/A	Serum exosome of patients with esophageal squamous cell carcinoma	Serum derived exosomes	20	Serum	NA	Trizol reagent	N/A	N/A	Esophagus	N/A	N/A	Public on Jul 30, 2020	N/A	N/A	Yes	33123480	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000064	GSE147517	Fulminant myocarditis	Heart disease	N/A	N/A	Serum Exosome from patients with fulminant myocarditis and health controls	Serum derived exosomes	10	Serum	RiboTM Exosome Isolation Reagent	MagZol reagent	N/A	N/A	Heart	N/A	N/A	Public on Jan 27, 2021	N/A	N/A	N/A	33473354	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000065	GSE159177	Prostate cancer	Cancer	N/A	N/A	Urinary exosome of prostate cancer patients	Urinary derived exosomes	465	Urinary	NA	Norgen Exosomal RNA Isolation Kit	N/A	N/A	Prostate	N/A	N/A	Public on Oct 08, 2020	N/A	N/A	N/A	32191585	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
EMIR00000067	GSE129255	Clear cell renal cell carcinoma	Cancer	N/A	N/A	Urinary exosome in the samples from ccRCC patients and healthy control individuals	Urinary derived exosomes	7	Urinary	NA	Trizol Plus RNA purification Kit	N/A	N/A	Kidney	Yes	N/A	Public on Apr 03, 2019	Yes	N/A	N/A	31342628	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000068	GSE124120	Tuberculosis	Infection disease	N/A	N/A	Serum exosome from patients with latent tuberculosis infection or active tuberculosis patients, and health controls 	Serum derived exosomes	3	Serum	ExoQuick-TM Kit with filtered through 0.22 um membranes	NA	N/A	N/A	Lung	N/A	N/A	Public on May 28, 2019	N/A	N/A	N/A	31191492	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000069	GSE163133	Pancreatic cancer	Cancer	Irradiation	N/A	Exosome derived from non-irradiated cells and irradiated (5 Gy and 8 Gy) cells	Cell derived exosomes	3	MIA PaCa-2 cell	ExoQuick-TM Kit with filtered through 0.22 um membranes	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Pancreas	Yes	Male and Female	Public on Dec 14, 2020	N/A	N/A	N/A	33649776	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000071	GSE117479	Colon carcinoma	Cancer	N/A	N/A	Exosome secreted from human colon cancer stem cells	Cell derived exosomes	4	Human colon cancer stem cell	Step-wise centrifugation-ultracentrifugation	miRNeasy Kit	N/A	N/A	Intestine	N/A	N/A	Public on Jul 01, 2021	N/A	N/A	N/A	Link to PubMed	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000073	GSE173094	Prostate cancer	Cancer	N/A	N/A	Urinary exosome of prostate cancer patients	Urinary derived exosomes	42	Urinary	ExoQuick-TC Kit	Trizol reagent	N/A	N/A	Prostate	N/A	N/A	Public on Jun 07, 2021	N/A	N/A	Yes	34117264	GPL15634	Applied Biosystems Human TaqMan Low Density Array (TLDA, v2.0) (Card A)
EMIR00000074	GSE93175	Renal cell carcinoma	Cancer	N/A	N/A	Plasma exosome from 41 mRCC patients 	Plasma derived exosomes	41	Plasma	ExoQuick-TM Kit	miRNeasy Micro Kit	N/A	N/A	Kidney	Yes	Male and Female	Public on Oct 31, 2017	N/A	N/A	N/A	28969022	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000075	GSE60965	Kawasaki disease	Vascular disease	Intravenous immunoglobulin therapy	N/A	Serum exosome from health controls and patients with Kawasaki disease or Kawasaki disease after Intravenous immunoglobulin (IVIG) therapy	Serum derived exosomes	3	Serum	ExoQuick-TM Kit	Trizol reagent	N/A	N/A	Blood system	N/A	N/A	Public on Sep 03, 2014	N/A	N/A	N/A	28317854	GPL16730	Agilent-039659 hs_miR_18_addvirus 038169
EMIR00000076	GSE52780	Hand,foot and mouth disease	Infection disease	N/A	N/A	Exosome in Hand, foot and mouth disease serum samples	Serum derived exosomes	3	Serum	ExoQuick-TM Kit	Trizol reagent	N/A	N/A	Skin	Yes	N/A	Public on Nov 27, 2013	N/A	Yes	N/A	Link to PubMed	GPL16730	Agilent-039659 hs_miR_18_addvirus 038169
EMIR00000077	GSE150459	Early podocyte injury	Kidney disease	N/A	N/A	Podocyte-released migrasomes in urine serve	Urinary derived exosomes	2	Urinary	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Kidney	N/A	N/A	Public on May 14, 2020	N/A	N/A	N/A	33313063	GPL25134	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (miRNA ID version)
EMIR00000078	GSE128803	Cervical carcinoma	Cancer	N/A	N/A	Exosome derived from normal human cervical epithelial cell line (HCER) and human cervical carcinoma(Hela)	Cell derived exosomes	6	"HCER cell; Hela cell"	NA	Trizol reagent	N/A	N/A	Cervix,Ovary and Uterus	N/A	N/A	Public on Feb 26, 2020	N/A	N/A	N/A	Link to PubMed	GPL17303	Ion Torrent Proton (Homo sapiens)
EMIR00000079	GSE97467	Immune related disease	Immune inflammatory disease	"PMA; IL-4"	N/A	Exosome secreted by monocyte and M2 macrophage	Cell derived exosomes	8	"Monocyte; Macrophage"	Total Exosome Isolation Kit	Trizol reagent	N/A	N/A	Blood system	N/A	N/A	Public on Apr 06, 2020	N/A	N/A	N/A	Link to PubMed	GPL18402	Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (miRNA ID version)
EMIR00000080	GSE178500	Intracranial atherosclerosis associated with antiangiogenesis	Vascular disease	Medical management	N/A	Plasma exosome in refractory intracranial atherosclerosis associated with antiangiogenesis	Plasma derived exosomes	21	Plasma	ExoQuick-TM Kit	SeraMir Exosome RNA Purification Column Kit	N/A	N/A	Brain	Yes	Male and Female	Public on Jun 21, 2021	N/A	N/A	N/A	31857618	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000081	GSE165323	Hematopoietic stem and progenitor cell expansion	Other	N/A	N/A	Extracellular vesicles of Adult and Fetal MSCs	Cell derived extracellular vesicles	11	"Adult MSCs; Fetal MSCs"	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Blood system	N/A	N/A	Public on Feb 10, 2021	N/A	N/A	N/A	33718342	GPL15520	Illumina MiSeq (Homo sapiens)
EMIR00000082	GSE154740	Oocyte quality	Pregnancy-related disease	N/A	N/A	Exosome in human ovarian follicular fluid	Follicular fluid derived exosomes	2	Follicular fluid	Step-wise centrifugation-ultracentrifugation	TruSeq Small RNA Sample Prep Kit	N/A	N/A	Cervix,Ovary and Uterus	N/A	N/A	Public on Jul 21, 2020	Yes	N/A	N/A	Link to PubMed	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000083	GSE25149	Atherosclerosis	Heart disease	N/A	N/A	Plasma exosome, LDL, HDL in same subject	Plasma derived exosomes	3	Plasma	Step-wise centrifugation-ultracentrifugation	miRNeasy Kit	N/A	N/A	Heart	N/A	N/A	Public on Mar 24, 2011	N/A	N/A	N/A	21423178	GPL11162	NIH Taqman Human MicroRNA Array v.2
EMIR00000084	GSE114008	Lung carcinoma	Cancer	"INFA; West Nile virus"	N/A	Extracellular vesicles secreted by A549 cells infected with West Nile virus and treated with interferon alpha	Cell derived extracellular vesicles	6	A549 cell	ExoQuick-TC Kit	mirVana miRNA Isolation Kit	West Nile virus	N/A	Lung	N/A	N/A	Public on May 20, 2019	N/A	N/A	N/A	31182021	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000085	GSE106224	Preeclampsia	Pregnancy-related disease	N/A	N/A	Extracellular vesicles from women who had spontaneous preterm births between 24-34 weeks (n=20) and matched with respect to gestational age and other variables to pregnant women with normal pregnancy (n=50)	Plasma derived  extracellular vesicles	114	Plasma	Size exclusion columns 	miRNeasy Micro Kit	N/A	N/A	Cervix,Ovary and Uterus	N/A	N/A	Public on Mar 19, 2018	N/A	N/A	N/A	29516617	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000086	GSE35387	Melanoma	Cancer	N/A	N/A	Exosome derived from A375 and HEMa-LP cells	Cell derived exosomes	7	"A375 cell; HEMa-LP cell"	Step-wise centrifugation-ultracentrifugation	mirVana Total RNA Isolation Kit	N/A	N/A	Skin	N/A	N/A	Public on Oct 10, 2012	N/A	N/A	N/A	23056502	GPL8786	[miRNA-1] Affymetrix Multispecies miRNA-1 Array
EMIR00000087	GSE94564	Multiple myeloma	Cancer	N/A	N/A	Exosome of patients with multiple myeloma and healthy adults	Serum derived exosomes	15	Serum	ExoQuick-TC Kit	miRNeasy Micro Kit	N/A	N/A	Blood system	N/A	N/A	Public on Aug 22, 2017	N/A	N/A	N/A	28213378	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000088	GSE85604	Lung carcinoma	Cancer	Cisplatin	N/A	Exosome derived from lung cancer cells A549 and cisplatin (DDP) resistant lung cancer cells A549/DDP	Cell derived exosomes	2	A549 cell	Step-wise centrifugation-ultracentrifugation	Norgen Total RNA Purification Kit	N/A	N/A	Lung	N/A	N/A	Public on Aug 16, 2016	N/A	N/A	N/A	28553110	GPL19730	Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (Probe Name version)
EMIR00000090	GSE33857	"Chronic hepatitis C; Chronic hepatitis B; Non-alcoholic steatohepatitis"	"Infection disease; Endocrine metabolic disease"	N/A	N/A	Exosome rich fraction was extracted from serum of patients with 64 CHC, 4 CHB, 7 NASH, and 12 healthy volunteers	Serum derived exosomes	100	Serum	ExoQuick-TM Kit	miRNeasy Mini Kit 	"Hepatitis B virus; Hepatitis C virus"	N/A	Liver	Yes	Male and Female	Public on Nov 05, 2012	Yes	N/A	N/A	23152743	GPL10656	Agilent-029297 Human miRNA Microarray v14 Rev.2 (miRNA ID version)
EMIR00000091	GSE39814	"Colorectal carcinoma; Colorectal adenocarcinoma"	Cancer	N/A	N/A	Exosome in human colon cancer cell lines, including FHC, HCT 116 and SW480	Cell derived exosomes	19	"FHC cell; HCT116 cell; SW480 cell"	Step-wise centrifugation-ultracentrifugation	Trizol-LS reagent	N/A	N/A	Intestine	N/A	N/A	Public on Apr 01, 2014	N/A	N/A	N/A	24705249	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000092	GSE39832	"Colon carcinoma; Colorectal adenocarcinoma"	Cancer	N/A	N/A	Exosome in human colon cancer cell lines, including HT-29, SW48, RKO	Cell derived exosomes	15	"HT-29 cell; SW48 cell; RKO cell"	Step-wise centrifugation-ultracentrifugation	Trizol-LS reagent	N/A	N/A	Intestine	N/A	N/A	Public on Apr 01, 2014	N/A	N/A	N/A	24705249	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000093	GSE166762	Bronchopulmonary dysplasis	Lung disease	N/A	N/A	Umbilical cord blood-derived exosome from very preterm infants with bronchopulmonary dysplasia	Umbilical cord blood derived exosomes	2	Umbilical cord blood	Polyethylene glycol precipitation	MiniBEST Universal RNA Extraction Kit	N/A	N/A	Lung	N/A	N/A	Public on Feb 16, 2021	N/A	N/A	N/A	33842462	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000094	GSE157916	Medulloblastoma	Cancer	N/A	N/A	Cerebrospinal fluid-derived exosome of medulloblastoma patients with or without leptomeningeal metastasis	Cerebrospinal fluid derived exosomes	58	Cerebrospinal fluid	Exo2DTM Kit	Norgen microRNA Purification Kit 	N/A	N/A	Brain	Yes	Male and Female	Public on Sep 15, 2020	N/A	N/A	Yes	Link to PubMed	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000095	GSE144627	Sedentary and trained older adults	Other	"Before acute exercise; Immediately after acute exercise; 3h after acute exercise"	"Sedentary; Exercise"	Circulating exosome-derived small RNA samples isolated from 10 elderly individuals (5 endurance-trained and 5 sedentary subjects) at 3 time points: before acute exercise (Pre), immediately after acute exercise (Post), and 3h after acute exercise (3hPost)	Whole blood derived exosomes	29	Whole blood	ExoQuick-TM Kit	QIAzol lysis reagent and RNeasy Mini Kit	N/A	N/A	Other	N/A	Male	Public on May 27, 2020	N/A	N/A	N/A	32587527	GPL15520	Illumina MiSeq (Homo sapiens)
EMIR00000096	GSE142282	Healthy individuals	Other	"unprocessed; Holder pasteurization; Holder pressure processing"	N/A	Exosome in raw and processed human breast milk	Liquid milk derived exosomes	18	Liquid milk	MiRCURY Exosome Cell/Urine/CSF Kit	Biofluid-tailored Serum/Plasma Advanced Kit	N/A	N/A	Breast	N/A	N/A	Public on Dec 19, 2019	N/A	N/A	N/A	Link to PubMed	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000097	GSE39833	Colorectal carcinoma	Cancer	N/A	N/A	Serum exosome in healthy controls and colorectal cancer patients	Serum derived exosomes	99	Serum	Step-wise centrifugation-ultracentrifugation	Trizol-LS reagent and RNeasy Mini Kit	N/A	N/A	Intestine	Yes	Male and Female	Public on Apr 01, 2014	Yes	N/A	N/A	24705249	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000099	GSE114874	Adult temporal lobe epilepsy	Nervous system disease	N/A	N/A	Plasma exosome of adult temporal lobe epilepsy	Plasma circulating miRNA	3	Plasma	NA	miRCURY RNA isolation Kit-Biofluid	N/A	N/A	Brain	N/A	N/A	Public on Jan 02, 2019	N/A	N/A	N/A	30396857	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000100	GSE114847	Adult temporal lobe epilepsy	Nervous system disease	N/A	N/A	Plasma exosome of adult temporal lobe epilepsy	Plasma circulating miRNA	3	Plasma	NA	miRCURY RNA isolation Kit-Biofluid	N/A	N/A	Brain	N/A	N/A	Public on Jan 02, 2019	N/A	N/A	N/A	30396857	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000101	GSE40246	Colorectal carcinoma	Cancer	N/A	N/A	Serum exosome in healthy controls and colorectal cancer patients	Serum derived exosomes	24	Serum	Step-wise centrifugation-ultracentrifugation	Trizol-LS reagent and RNeasy Mini Kit	N/A	N/A	Intestine	Yes	Male and Female	Public on Apr 01, 2014	Yes	N/A	N/A	24705249	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000102	GSE40247	Colon carcinoma	Cancer	N/A	N/A	"Serum exosome in healthy controls and colorectal cancer patients; exosome in human colon cancer cell lines"	"Serum derived exosomes; Cell derived exosomes"	157	"Serum; Colorectal cancer cell"	Step-wise centrifugation-ultracentrifugation	Trizol-LS reagent and RNeasy Mini Kit	N/A	N/A	Intestine	Yes	Male and Female	Public on Apr 01, 2014	Yes	N/A	N/A	24705249	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000103	GSE114317	Colorectal carcinoma	Cancer	N/A	N/A	Exosome, supernatant, and cell content of colorectal cancer cell line and normal colonic epithelial cell line	Cell derived exosomes	9	"Colorectal cancer cell; Normal colonic epithelial cell"	Step-wise centrifugation-ultracentrifugation	miRNeasy Mini Kit	N/A	N/A	Intestine	N/A	N/A	Public on Dec 30, 2018	N/A	N/A	N/A	30589909	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000105	GSE111803	Lung adenocarcinoma	Cancer	N/A	N/A	Peripheral blood exosome microRNAs from 5 patients with lung adenocarcinoma and 5 healthy controls	Whole blood derived exosomes	10	Whole blood	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Lung	N/A	N/A	Public on Mar 14, 2019	N/A	N/A	N/A	31677346	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000106	GSE106452	Hepatocellular carcinoma	Cancer	N/A	N/A	Exosome derived from cells of CSQT-2, HCC-LM3, HepG2, and MHCC-97L	Cell derived exosomes	4	"CSQT-2 cell; HCC-LM3 cell; HepG2 cell; MHCC-97L cell"	NA	miRNeasy Mini Kit	N/A	N/A	Liver	N/A	N/A	Public on Nov 03, 2017	N/A	N/A	N/A	Link to PubMed	GPL20712	Agilent-070156 Human miRNA [miRNA version]
EMIR00000110	GSE79411	Melanoma	Cancer	N/A	N/A	Exosome,secreted melanosomes, melanosomes derived from cells of MNT-1, WM3682 and WM3314	Cell derived exosomes	8	"MNT-1 cell; WM3682 cell; WM3314 cell"	Step-wise centrifugation-ultracentrifugation	miRNeasy Mini Kit	N/A	N/A	Skin	N/A	N/A	Public on Aug 09, 2016	N/A	N/A	N/A	Link to PubMed	GPL21576	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (Probe Name version)
EMIR00000112	GSE50429	Breast cancer	Cancer	N/A	N/A	Exosome of  MDA-MB-231 and MCF-10A cells	Cell derived exosomes	4	"MDA-MB-231 cell; MCF-10A cell"	Step-wise centrifugation-ultracentrifugation	Trizol-LS reagent	N/A	N/A	Breast	N/A	N/A	Public on Sep 01, 2013	N/A	N/A	N/A	24735924	GPL10999	Illumina Genome Analyzer IIx (Homo sapiens)
EMIR00000113	GSE68885	Obesity-related disease	Endocrine metabolic disease	N/A	N/A	Exosome from subcutaneous adipose tissue	Cell derived exosomes	12	Subcutaneous adipocyte 	ExoQuick-TC Kit	mirVana Total RNA Isolation Kit	N/A	N/A	Other	Yes	Female	Public on May 15, 2017	N/A	N/A	N/A	Link to PubMed	GPL16384	[miRNA-3] Affymetrix Multispecies miRNA-3 Array
EMIR00000114	GSE50574	Obesity-related disease	Endocrine metabolic disease	N/A	N/A	Adipocyte-derived exosome from visceral adipose tissue	Cell derived exosomes	12	Visceral adipocyte	ExoQuick-TC Kit	mirVana Total RNA Isolation Kit	N/A	N/A	Other	N/A	N/A	Public on Mar 03, 2015	N/A	N/A	N/A	25518011	GPL16384	[miRNA-3] Affymetrix Multispecies miRNA-3 Array
EMIR00000116	GSE137637	Immune related disease	Immune inflammatory disease	Treponema pallidum	N/A	Exosome were acquired from macrophage culture supernatants with (n = 7) or without (n = 3) T. pallidum. Briefly, macrophages were washed in PBS twice and further grown in fresh medium for 12 h (n = 2), 24 h (n = 2) and 48 h (n = 3) to collect exosome	Cell derived exosomes	10	Macrophage	NA	Versagene Blood RNA Purification Kit	N/A	N/A	Blood system	N/A	N/A	Public on Sep 19, 2019	N/A	N/A	N/A	31926946	GPL25134	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (miRNA ID version)
EMIR00000117	GSE111754	Pediatric cystic fibrosis	Lung disease	N/A	N/A	Serum exosome in patients with or without liver disease in pediatric cystic fibrosis	Serum circulating miRNA	8	Serum	NA	Plasma/Serum RNA Purification Mini Kit	N/A	N/A	Lung	N/A	N/A	Public on Jul 27, 2018	N/A	Yes	N/A	30014495	GPL17303	Ion Torrent Proton (Homo sapiens)
EMIR00000118	GSE68408	Oral lichen planus	Oral disease	N/A	N/A	Saliva exosome in patients with oral lichen planus	Saliva derived exosomes	4	Saliva	NA	NA	N/A	N/A	Oral	N/A	N/A	Public on Apr 30, 2015	N/A	N/A	N/A	26389700	GPL18402	Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (miRNA ID version)
EMIR00000119	GSE65255	Prostate cancer	Cancer	N/A	N/A	Exosome or cellular total RNA from cancer cells, PC3M, and normal cells, PNT2	Cell derived exosomes	4	"PC3M cell; PNT2 cell"	NA	miRNeasy Mini Kit	N/A	N/A	Prostate	N/A	N/A	Public on Jan 23, 2018	N/A	N/A	N/A	22123823	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000120	GSE48318	Diabetic nephropathy	Kidney disease	N/A	N/A	Urinary exosome from 2 pairs of micro/normoalbuminuric type 1 diabetic patients comparable for age, sex, diabetes duration, and tightly matched for HbA1c	Urinary derived exosomes	4	Urinary	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Kidney	N/A	N/A	Public on Feb 14, 2014	Yes	N/A	N/A	24223694	GPL17346	Human Taqman miRNA array Card A v2.0
EMIR00000121	GSE125494	Obesity-related disease	Endocrine metabolic disease	N/A	N/A	FABP4+ (adipocyte-derived) exosome isolated from serum	Serum derived exosomes	11	Serum	ExoQuick-TC Kit	mirVana Total RNA Isolation Kit	N/A	N/A	Other	Yes	Female	Public on Jun 03, 2019	Yes	N/A	N/A	31331347	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
EMIR00000122	GSE50632	Pancreatic cancer	Cancer	N/A	N/A	Exosome or cellular total RNA from pancreatic cancer cells	Cell derived exosomes	5	Pancreatic cancer cell	Step-wise centrifugation-ultracentrifugation	miRNeasy Mini Kit	N/A	N/A	Pancreas	N/A	N/A	Public on Dec 01, 2014	N/A	N/A	N/A	Link to PubMed	GPL16294	"Exiqon miRCURY LNA microRNA array; 7th generation; batch 208500-2, 208510; lot 35003 - hsa, mmu & rno (miRBase 19.0)"
EMIR00000123	GSE174705	Lethal and sublethal radiation doses	Other	Irradiation	N/A	Serial serum and serum-isolated exosome of 25 patients (children and adults) subjected to total body irradiation	Serum derived exosomes	71	Serum	Qiagen miRCURY Exosome Serum/Plasma Kit. 	miRNeasy Serum/Plasma Kit	N/A	N/A	Other	N/A	N/A	Public on May 20, 2021	N/A	N/A	N/A	Link to PubMed	GPL21697	NextSeq 550 (Homo sapiens)
EMIR00000124	GSE161419	Prostate cancer	Cancer	N/A	N/A	Exosome derived from human prostate cancer cell lines, including PC3, C4, C4-2	Cell derived exosomes	3	"PC3 cell; C4 cell; C4-2 cell;"	Step-wise centrifugation-ultracentrifugation	miRNeasy Serum/Plasma Kit	N/A	N/A	Prostate	N/A	N/A	Public on Feb 24, 2021	N/A	N/A	N/A	33659051	GPL20795	HiSeq X Ten (Homo sapiens)
