,Sensitivity,Specificity,Informedness,Support,Relevant miRNAs
Squamous cell carcinoma,0.0,1.0,0.0,1,"{'hsa-miR-1249-3p': 14.23, 'hsa-miR-4290': 14.15, 'hsa-miR-548v': 12.2, 'hsa-miR-758-3p': 9.35, 'hsa-miR-3679-3p': 7.29, 'hsa-miR-34b-3p': 5.55, 'hsa-miR-607': 5.48, 'hsa-miR-483-3p': 4.94, 'hsa-miR-1224-3p': 4.15, 'hsa-miR-1227-3p': 3.62, 'hsa-miR-1229-3p': 3.33, 'hsa-miR-339-5p': 2.7, 'hsa-miR-192-3p': 2.05}"
Perioperative myocardial injury,0.0,1.0,0.0,1,{}
Small cell lung carcinoma,0.0,1.0,0.0,1,{'hsa-miR-4290': 4.2}
Primary central nervous system lymphomas,0.0,1.0,0.0,8,"{'hsa-miR-6814-5p': 6.63, 'hsa-miR-4752': 6.05, 'hsa-miR-214-5p': 5.64, 'hsa-miR-6816-3p': 3.58, 'hsa-miR-1202': 3.12, 'hsa-miR-662': 3.05, 'hsa-miR-7978': 3.05, 'hsa-miR-4650-3p': 2.97, 'hsa-miR-127-5p': 2.54, 'hsa-miR-766-3p': 2.46, 'hsa-miR-6837-5p': 2.42, 'hsa-miR-4467': 2.4, 'hsa-miR-4691-5p': 2.36, 'hsa-miR-548w': 2.28, 'hsa-miR-4283': 2.25, 'hsa-miR-5047': 2.22, 'hsa-miR-6827-5p': 2.18, 'hsa-miR-5589-5p': 2.05}"
Acquired immune deficiency syndrome,1.0,0.0,0.0,5,"{'hsa-miR-199a-5p': 12.31, 'hsa-miR-199b-5p': 11.02, 'hsa-miR-98-3p': 8.14, 'hsa-miR-34c-5p': 7.71, 'hsa-miR-509-5p': 5.76, 'hsa-miR-935': 5.19, 'hsa-miR-181b-2-3p': 4.93, 'hsa-miR-495-5p': 4.45, 'hsa-miR-210-5p': 3.84, 'hsa-miR-616-3p': 3.5, 'hsa-miR-651-3p': 3.17, 'hsa-miR-196b-5p': 2.63, 'hsa-miR-101-3p': 2.5, 'hsa-miR-518d-3p': 2.5, 'hsa-miR-671-3p': 2.36, 'hsa-miR-514b-5p': 2.36, 'hsa-miR-1288-3p': 2.31, 'hsa-miR-132-3p': 2.19, 'hsa-miR-5010-3p': 2.16, 'hsa-miR-125b-5p': 2.09, 'hsa-miR-1296-5p': 2.08, 'hsa-miR-192-5p': 2.06}"
Obesity-related disease,1.0,0.0,0.0,2,"{'hsa-miR-4279': 18.08, 'hsa-let-7e': 7.41, 'hsa-miR-193b-3p': 4.11, 'hsa-miR-483-3p': 4.09, 'hsa-miR-3685': 2.96, 'hsa-miR-758-3p': 2.76, 'hsa-miR-197-3p': 2.58, 'hsa-miR-4421': 2.26}"
Chronic pancreatitis,0.0,1.0,0.0,2,"{'hsa-miR-4661-5p': 22.89, 'hsa-miR-4473': 14.05, 'hsa-miR-28-5p': 12.77, 'hsa-miR-302b-3p': 10.27, 'hsa-miR-3677-3p': 8.12, 'hsa-miR-376b-3p': 7.58, 'hsa-miR-135b-3p': 7.42, 'hsa-miR-146b-3p': 7.18, 'hsa-miR-4750-5p': 7.04, 'hsa-miR-4664-3p': 6.88, 'hsa-miR-3616-5p': 6.78, 'hsa-miR-376a-3p': 5.96, 'hsa-miR-4465': 5.74, 'hsa-miR-99a-5p': 5.52, 'hsa-miR-519d-3p': 5.31, 'hsa-miR-127-5p': 5.13, 'hsa-miR-6746-3p': 5.08, 'hsa-miR-330-3p': 5.07, 'hsa-miR-4730': 5.07, 'hsa-miR-4754': 4.52, 'hsa-miR-196b-5p': 4.08, 'hsa-miR-4451': 3.94, 'hsa-miR-374b-5p': 3.79, 'hsa-miR-548ag': 3.64, 'hsa-miR-6887-5p': 3.54, 'hsa-miR-524-3p': 3.28, 'hsa-miR-196a-5p': 3.25, 'hsa-miR-6776-5p': 3.24, 'hsa-miR-3135a': 3.23, 'hsa-miR-4280': 3.11, 'hsa-miR-374a-5p': 2.98, 'hsa-miR-6834-5p': 2.88, 'hsa-miR-6796-5p': 2.87, 'hsa-miR-623': 2.84, 'hsa-miR-1299': 2.75, 'hsa-miR-1287-5p': 2.58, 'hsa-miR-518d-3p': 2.55, 'hsa-miR-525-3p': 2.55, 'hsa-miR-631': 2.55, 'hsa-miR-6782-5p': 2.53, 'hsa-miR-7113-5p': 2.45, 'hsa-miR-497-5p': 2.39, 'hsa-miR-602': 2.34, 'hsa-miR-3195': 2.32, 'hsa-miR-186-3p': 2.26, 'hsa-miR-4757-5p': 2.17, 'hsa-miR-6731-5p': 2.17, 'hsa-miR-6870-5p': 2.12, 'hsa-miR-890': 2.07}"
Benign breast disease,0.0,1.0,0.0,13,"{'hsa-miR-1914-5p': 19.37, 'hsa-miR-324-5p': 17.58, 'hsa-miR-3683': 15.38, 'hsa-miR-423-3p': 13.87, 'hsa-miR-4312': 13.46, 'hsa-miR-6836-5p': 10.01, 'hsa-miR-4783-3p': 9.8, 'hsa-miR-6893-3p': 9.31, 'hsa-miR-2277-5p': 7.57, 'hsa-miR-1909-3p': 7.25, 'hsa-miR-1295b-5p': 7.19, 'hsa-miR-4672': 6.13, 'hsa-miR-4764-3p': 5.43, 'hsa-miR-4745-3p': 5.39, 'hsa-miR-548ax': 4.81, 'hsa-miR-548ap-5p': 4.74, 'hsa-miR-3925-5p': 4.69, 'hsa-miR-559': 4.65, 'hsa-miR-324-3p': 4.54, 'hsa-miR-7975': 4.37, 'hsa-miR-514b-5p': 4.07, 'hsa-miR-3184-5p': 4.03, 'hsa-miR-6848-3p': 3.96, 'hsa-miR-5010-3p': 3.73, 'hsa-miR-1911-3p': 3.61, 'hsa-miR-764': 3.54, 'hsa-miR-105-3p': 3.48, 'hsa-miR-671-3p': 3.41, 'hsa-miR-6832-3p': 3.33, 'hsa-miR-5707': 2.96, 'hsa-miR-3682-5p': 2.78, 'hsa-miR-374c-3p': 2.73, 'hsa-miR-409-5p': 2.65, 'hsa-miR-6516-3p': 2.63, 'hsa-miR-7160-3p': 2.51, 'hsa-miR-622': 2.49, 'hsa-miR-4519': 2.28, 'hsa-miR-4777-3p': 2.23, 'hsa-miR-7160-5p': 2.15, 'hsa-miR-576-5p': 2.09, 'hsa-miR-3664-5p': 2.09, 'hsa-miR-4707-5p': 2.06}"
Metastatic brain tumors,0.0,1.0,0.0,6,"{'hsa-miR-214-5p': 5.8, 'hsa-miR-6814-5p': 5.47, 'hsa-miR-4752': 5.01, 'hsa-miR-6816-3p': 3.44, 'hsa-miR-662': 3.23, 'hsa-miR-4650-3p': 3.12, 'hsa-miR-7978': 3.07, 'hsa-miR-1202': 3.05, 'hsa-miR-4283': 2.47, 'hsa-miR-766-3p': 2.38, 'hsa-miR-4691-5p': 2.34, 'hsa-miR-4467': 2.17, 'hsa-miR-873-3p': 2.08, 'hsa-miR-6827-5p': 2.07}"
Meningioma,0.0,1.0,0.0,3,"{'hsa-miR-214-5p': 3.86, 'hsa-miR-7978': 3.62, 'hsa-miR-6814-5p': 3.4, 'hsa-miR-4752': 3.34, 'hsa-miR-6816-3p': 2.46, 'hsa-miR-4650-3p': 2.22, 'hsa-miR-662': 2.17, 'hsa-miR-4283': 2.11, 'hsa-miR-1202': 2.06, 'hsa-miR-548w': 2.02}"
Lung carcinoma,1.0,0.0,0.0,41,"{'hsa-miR-499a-3p': 4.7, 'hsa-miR-324-5p': 4.0, 'hsa-miR-3655': 2.31, 'hsa-miR-24-3p': 2.29, 'hsa-miR-3665': 2.01}"
Benign ovarian disease,0.0,1.0,0.0,8,"{'hsa-miR-6752-3p': 36.57, 'hsa-miR-1249-3p': 14.16, 'hsa-miR-4687-5p': 10.89, 'hsa-miR-6800-3p': 8.8, 'hsa-miR-6760-3p': 8.77, 'hsa-miR-6730-3p': 8.38, 'hsa-miR-3177-5p': 4.87, 'hsa-miR-758-3p': 3.52, 'hsa-miR-6785-3p': 3.17, 'hsa-miR-4732-3p': 2.57, 'hsa-miR-4755-3p': 2.54, 'hsa-miR-3685': 2.32, 'hsa-miR-8053': 2.22, 'hsa-miR-7974': 2.05}"
Intermediate bone and soft tissue tumor,0.0,1.0,0.0,29,{'hsa-miR-4279': 4.99}
Benign thyroid nodule,0.0,1.0,0.0,2,"{'hsa-miR-338-3p': 3.74, 'hsa-miR-146b-3p': 2.5, 'hsa-miR-376a-3p': 2.12, 'hsa-miR-497-5p': 2.09}"
Borderline ovarian tumor,0.0,1.0,0.0,13,"{'hsa-miR-6752-3p': 30.13, 'hsa-miR-4279': 27.76, 'hsa-miR-1249-3p': 14.28, 'hsa-miR-4687-5p': 12.54, 'hsa-miR-6800-3p': 10.63, 'hsa-miR-5001-3p': 6.91, 'hsa-miR-3177-5p': 5.49, 'hsa-miR-6760-3p': 5.31, 'hsa-miR-6730-3p': 4.96, 'hsa-miR-6785-3p': 4.25, 'hsa-miR-4732-3p': 3.82, 'hsa-miR-3151-3p': 3.26, 'hsa-miR-4633-5p': 2.95, 'hsa-miR-758-3p': 2.27, 'hsa-miR-193b-3p': 2.23, 'hsa-miR-4701-3p': 2.1, 'hsa-miR-4713-3p': 2.01}"
Cholelithiasis,0.0,1.0,0.0,2,"{'hsa-miR-6867-3p': 13.4, 'hsa-miR-1197': 9.65, 'hsa-miR-4713-5p': 9.22, 'hsa-miR-6082': 9.13, 'hsa-miR-549a-3p': 8.88, 'hsa-miR-4640-3p': 7.6, 'hsa-miR-6729-3p': 7.38, 'hsa-miR-3675-3p': 7.31, 'hsa-miR-31-3p': 7.13, 'hsa-miR-4433b-5p': 6.41, 'hsa-miR-5571-5p': 6.39, 'hsa-miR-7106-3p': 6.28, 'hsa-miR-5092': 6.22, 'hsa-miR-7973': 5.94, 'hsa-miR-6801-3p': 5.61, 'hsa-miR-550b-3p': 5.41, 'hsa-miR-6749-3p': 5.35, 'hsa-miR-1295a': 5.15, 'hsa-miR-632': 4.87, 'hsa-miR-505-3p': 4.86, 'hsa-miR-6821-3p': 4.79, 'hsa-miR-6778-3p': 4.79, 'hsa-miR-4676-3p': 4.76, 'hsa-miR-4715-3p': 4.73, 'hsa-miR-3667-3p': 4.69, 'hsa-miR-4701-5p': 4.62, 'hsa-miR-5006-3p': 4.51, 'hsa-miR-618': 4.49, 'hsa-miR-629-3p': 4.4, 'hsa-miR-6852-3p': 4.1, 'hsa-miR-6875-3p': 3.96, 'hsa-miR-27b-5p': 3.87, 'hsa-miR-675-3p': 3.85, 'hsa-miR-6791-3p': 3.64, 'hsa-miR-3183': 3.62, 'hsa-miR-3650': 3.58, 'hsa-miR-6798-3p': 3.52, 'hsa-miR-6815-3p': 3.47, 'hsa-miR-766-5p': 3.46, 'hsa-miR-551b-3p': 3.42, 'hsa-miR-4711-3p': 3.41, 'hsa-miR-4755-5p': 3.38, 'hsa-miR-6809-3p': 3.3, 'hsa-miR-6886-3p': 3.24, 'hsa-miR-4422': 3.23, 'hsa-miR-21-3p': 3.21, 'hsa-miR-6772-3p': 3.15, 'hsa-miR-5588-3p': 3.11, 'hsa-miR-6762-3p': 3.1, 'hsa-miR-616-5p': 3.08, 'hsa-miR-4423-3p': 3.06, 'hsa-miR-3162-3p': 3.02, 'hsa-miR-6833-3p': 3.01, 'hsa-miR-572': 2.99, 'hsa-miR-3927-5p': 2.77, 'hsa-miR-6500-5p': 2.75, 'hsa-miR-548a-3p': 2.71, 'hsa-miR-6796-3p': 2.69, 'hsa-miR-193a-3p': 2.63, 'hsa-miR-4738-5p': 2.61, 'hsa-miR-3682-3p': 2.56, 'hsa-miR-4454': 2.53, 'hsa-miR-7114-3p': 2.53, 'hsa-miR-6805-3p': 2.51, 'hsa-miR-24-1-5p': 2.49, 'hsa-miR-6750-3p': 2.48, 'hsa-miR-1256': 2.44, 'hsa-miR-6731-3p': 2.38, 'hsa-miR-627-3p': 2.35, 'hsa-miR-6748-3p': 2.33, 'hsa-miR-122b-3p': 2.32, 'hsa-miR-626': 2.3, 'hsa-miR-3124-3p': 2.27, 'hsa-miR-543': 2.22, 'hsa-miR-4275': 2.22, 'hsa-miR-328-3p': 2.18, 'hsa-miR-6499-3p': 2.16, 'hsa-miR-6792-3p': 2.14, 'hsa-miR-5196-3p': 2.1, 'hsa-miR-550a-3p': 2.1, 'hsa-miR-4258': 2.08, 'hsa-miR-5689': 2.07, 'hsa-miR-4320': 2.06, 'hsa-miR-3977': 2.04, 'hsa-miR-15b-3p': 2.03, 'hsa-miR-4330': 2.03, 'hsa-miR-4424': 2.0}"
Lung adenocarcinoma,0.14,0.82,-0.04,7,"{'hsa-miR-98-3p': 13.16, 'hsa-miR-1249-3p': 7.23, 'hsa-miR-4290': 6.42, 'hsa-miR-210-5p': 6.41, 'hsa-miR-199a-5p': 3.11, 'hsa-miR-7849-3p': 3.01, 'hsa-miR-622': 2.37, 'hsa-miR-192-3p': 2.21, 'hsa-miR-339-5p': 2.16}"
Retinoblastoma,0.2,0.75,-0.05,5,"{'hsa-let-7b-3p': 6.61, 'hsa-miR-6788-3p': 3.5, 'hsa-miR-98-3p': 3.27, 'hsa-miR-3124-5p': 3.22, 'hsa-miR-490-5p': 3.07, 'hsa-miR-338-3p': 2.83, 'hsa-miR-622': 2.83, 'hsa-miR-6822-3p': 2.58, 'hsa-miR-520a-5p': 2.48, 'hsa-miR-378a-5p': 2.44, 'hsa-miR-132-3p': 2.36, 'hsa-miR-4800-3p': 2.26, 'hsa-miR-4636': 2.19, 'hsa-let-7a-3p': 2.05, 'hsa-miR-196b-5p': 2.04}"
Non-alcoholic steatohepatitis,0.0,0.8,-0.2,1,"{'hsa-miR-497-5p': 19.62, 'hsa-miR-376a-3p': 6.62, 'hsa-miR-146b-3p': 4.85, 'hsa-miR-127-5p': 3.24, 'hsa-miR-452-3p': 3.02, 'hsa-miR-1287-5p': 2.98}"
Non-small cell lung cancer,0.75,0.0,-0.25,4,"{'hsa-miR-4279': 11.29, 'hsa-miR-483-3p': 9.67, 'hsa-miR-5100': 4.86, 'hsa-miR-3685': 4.14, 'hsa-miR-758-3p': 3.03, 'hsa-miR-1249-3p': 2.43, 'hsa-miR-193b-3p': 2.13, 'hsa-miR-1226-3p': 2.12, 'hsa-miR-1227-3p': 2.09}"
Gestational diabetes mellitus,0.33,0.0,-0.67,3,"{'hsa-miR-622': 29.13, 'hsa-miR-6820-3p': 12.92, 'hsa-miR-371b-3p': 11.87, 'hsa-miR-6788-3p': 9.69, 'hsa-miR-4312': 7.32, 'hsa-miR-5010-3p': 6.84, 'hsa-miR-6832-3p': 6.32, 'hsa-miR-937-3p': 6.11, 'hsa-miR-181b-2-3p': 5.84, 'hsa-miR-6777-3p': 5.74, 'hsa-miR-4290': 5.28, 'hsa-miR-524-3p': 5.12, 'hsa-miR-6866-3p': 5.06, 'hsa-miR-4783-3p': 4.79, 'hsa-miR-6828-3p': 4.28, 'hsa-miR-125b-2-3p': 4.19, 'hsa-miR-338-3p': 3.89, 'hsa-miR-3683': 3.74, 'hsa-miR-597-3p': 3.43, 'hsa-miR-518d-3p': 3.43, 'hsa-miR-422a': 3.37, 'hsa-miR-1471': 3.36, 'hsa-miR-324-5p': 3.32, 'hsa-miR-1295b-5p': 3.05, 'hsa-miR-8053': 3.03, 'hsa-miR-423-3p': 2.86, 'hsa-miR-659-5p': 2.86, 'hsa-miR-1288-3p': 2.85, 'hsa-miR-375-3p': 2.64, 'hsa-miR-1909-3p': 2.62, 'hsa-miR-374b-5p': 2.61, 'hsa-miR-616-3p': 2.6, 'hsa-miR-1914-5p': 2.57, 'hsa-miR-548v': 2.56, 'hsa-miR-3682-5p': 2.46, 'hsa-miR-4725-5p': 2.44, 'hsa-miR-625-3p': 2.43, 'hsa-miR-5707': 2.43, 'hsa-miR-602': 2.4, 'hsa-miR-6733-5p': 2.36, 'hsa-miR-1298-5p': 2.34, 'hsa-miR-4754': 2.28, 'hsa-miR-4768-5p': 2.26, 'hsa-miR-330-3p': 2.21, 'hsa-miR-3664-5p': 2.21, 'hsa-miR-4764-3p': 2.16, 'hsa-miR-4761-5p': 2.15, 'hsa-miR-6895-3p': 2.14, 'hsa-miR-4745-3p': 2.12, 'hsa-miR-631': 2.09, 'hsa-miR-4524b-3p': 2.08, 'hsa-miR-1273h-5p': 2.07, 'hsa-miR-541-3p': 2.01}"
Fulminant myocarditis,0.0,0.0,-1.0,1,"{'hsa-miR-4279': 4.88, 'hsa-miR-3151-3p': 2.66}"
Liver cirrhosis,0.0,0.0,-1.0,1,{}
